TSNE1,TSNE2,Class,true_label_encoded,kmeans_cluster
20.032743,8.332961,relax,2,2
18.762362,6.265724,relax,2,2
-4.612447,12.345888,relax,2,0
3.5006573,7.686332,relax,2,0
13.018327,10.933699,relax,2,2
3.5312452,18.684326,relax,2,0
17.477701,4.011852,relax,2,2
-0.7438412,8.344481,relax,2,0
22.736094,3.4452841,relax,2,2
4.5273995,16.774223,relax,2,0
22.737125,3.4435084,relax,2,2
-6.4159174,5.525891,relax,2,0
12.900945,4.7626314,relax,2,2
-1.4609362,16.45125,relax,2,0
-3.0449445,14.870107,relax,2,0
10.1004305,-8.348113,relax,2,3
10.467803,13.333651,relax,2,0
-4.4552927,7.927093,relax,2,0
4.6461062,17.598345,relax,2,0
-12.691385,7.4436936,relax,2,1
-4.2738895,7.935902,relax,2,0
-10.308402,-3.8370812,relax,2,1
19.113173,2.4559255,relax,2,2
1.9761147,-2.9298952,relax,2,3
6.79274,12.677902,relax,2,0
23.407272,10.913419,relax,2,2
11.125673,4.179244,relax,2,2
14.628353,9.996767,relax,2,2
-6.497613,2.7848005,relax,2,1
10.854911,15.360344,relax,2,0
13.250432,-8.613064,relax,2,3
19.465424,-2.7956104,relax,2,2
17.377943,5.4505353,relax,2,2
13.387453,13.115613,relax,2,2
20.192633,7.5759387,relax,2,2
5.7624397,15.840623,relax,2,0
-1.367159,9.56259,relax,2,0
-1.2827253,12.646088,relax,2,0
6.024854,13.494706,relax,2,0
2.542075,21.406883,relax,2,0
18.339539,4.443015,relax,2,2
-2.4486492,0.40946856,relax,2,3
-5.290219,10.175514,relax,2,0
-9.4261675,11.475868,relax,2,0
-7.0747952,8.056125,relax,2,0
20.69917,-2.3015602,relax,2,2
2.6367872,6.364379,relax,2,0
-1.9358548,12.083066,relax,2,0
11.1818285,7.942668,relax,2,2
21.708914,-4.346727,relax,2,2
14.63035,4.2843776,relax,2,2
-7.3999114,2.3646047,relax,2,1
3.5546136,4.8931985,relax,2,0
0.78011787,18.961847,relax,2,0
21.63471,-4.256921,relax,2,2
6.212596,5.4683685,relax,2,0
-7.7203074,9.2521925,relax,2,0
8.790435,6.2925615,relax,2,2
21.922104,6.6713104,relax,2,2
-6.8253417,13.414244,relax,2,0
22.00938,7.558366,relax,2,2
16.391329,-2.6546502,relax,2,2
1.815849,-13.516188,relax,2,3
4.537363,9.4748745,relax,2,0
6.5896363,8.723376,relax,2,0
1.5815591,-0.698481,relax,2,3
-0.58228576,0.24198751,relax,2,3
9.943781,-12.356025,relax,2,3
0.03253192,-3.086938,relax,2,3
7.056303,12.1498375,relax,2,0
5.8105536,8.305768,relax,2,0
-6.937671,-10.969495,relax,2,1
17.820883,5.2854633,relax,2,2
11.555275,14.216999,relax,2,2
20.720518,11.383792,relax,2,2
1.2644142,20.295645,relax,2,0
-1.3950381,7.9812326,relax,2,0
10.171693,13.493489,relax,2,0
-1.0305898,5.0083,relax,2,0
15.875529,12.563477,relax,2,2
16.583012,7.6797805,relax,2,2
16.081377,7.801409,relax,2,2
23.429663,10.91125,relax,2,2
-7.0535374,-12.453005,relax,2,1
-3.0016623,17.31545,relax,2,0
-9.427961,11.482655,relax,2,0
4.8181314,10.626456,relax,2,0
0.7805326,18.94121,relax,2,0
12.768085,3.039795,relax,2,2
4.575895,9.504632,relax,2,0
9.94606,-12.367885,relax,2,3
20.718616,11.400152,relax,2,2
-5.4932356,9.687743,relax,2,0
-8.142527,-13.971486,relax,2,1
-0.17202455,2.9414828,relax,2,0
2.0463638,6.427703,relax,2,0
0.09632291,7.383195,relax,2,0
-10.795643,0.28370526,happy,1,1
-11.4326105,-12.514476,happy,1,1
-15.84214,2.0070827,happy,1,1
-16.413908,-8.432475,happy,1,1
-6.080558,-6.411459,happy,1,1
-12.464009,-0.04928745,happy,1,1
-11.359799,-7.264101,happy,1,1
-16.901817,3.750811,happy,1,1
-9.835659,-1.8862964,happy,1,1
-12.121831,-2.0632207,happy,1,1
-11.316809,1.1209598,happy,1,1
-12.96336,-0.0017745309,happy,1,1
-12.443763,-6.127746,happy,1,1
-10.452564,-14.021605,happy,1,1
-12.522176,1.8667464,happy,1,1
2.8534472,-5.5596538,happy,1,3
-5.876948,-2.1078296,happy,1,1
-18.426188,1.5753616,happy,1,1
-13.133609,-2.1975675,happy,1,1
-11.234206,-8.240638,happy,1,1
-7.9932914,-9.245782,happy,1,1
-16.350927,-6.0726233,happy,1,1
-17.9761,-5.956516,happy,1,1
-1.4069418,-6.0152574,happy,1,3
-8.844533,4.087329,happy,1,1
-4.5512376,0.36048147,happy,1,1
-4.771808,-4.23222,happy,1,1
-14.44692,-6.417784,happy,1,1
-9.047399,-4.541922,happy,1,1
-9.209179,5.0325947,happy,1,1
-9.520625,-12.669972,happy,1,1
-15.987252,-7.347045,happy,1,1
-16.006973,-6.2552958,happy,1,1
-14.226111,-6.663903,happy,1,1
-11.379062,-6.5998974,happy,1,1
-13.374466,-16.884605,happy,1,1
-14.764421,-2.373937,happy,1,1
-15.600261,-2.9027064,happy,1,1
-3.058493,-3.0853198,happy,1,3
-17.187723,4.3935595,happy,1,1
-17.238016,1.9181699,happy,1,1
-8.021999,8.778146,happy,1,0
-0.8871446,-3.9816797,happy,1,3
1.4277643,-5.022777,happy,1,3
-9.035312,-0.2538463,happy,1,1
-13.913243,-1.292108,happy,1,1
-1.8962947,-4.4120665,happy,1,3
-17.536373,0.79758364,happy,1,1
-14.772402,-4.3904214,happy,1,1
-10.56583,-14.229462,happy,1,1
-8.179563,-12.130298,happy,1,1
-12.647087,-1.8533783,happy,1,1
-16.722101,-8.577744,happy,1,1
-12.138962,-3.6223934,happy,1,1
-12.707999,-3.1138892,happy,1,1
-10.544299,2.7097507,happy,1,1
-13.951187,-2.5045803,happy,1,1
-16.149494,3.4918313,happy,1,1
-11.818838,-4.7376337,happy,1,1
-2.4795744,-5.2147465,happy,1,3
-6.2353697,-7.4674253,happy,1,1
-15.406818,4.1847324,happy,1,1
-3.3068116,-6.3289394,happy,1,3
-13.933952,-7.169447,happy,1,1
-9.49906,2.2763526,happy,1,1
-10.891601,-0.68629706,happy,1,1
7.880659,19.219952,happy,1,0
-9.860676,0.099284455,happy,1,1
-5.2208543,-6.2680364,happy,1,1
-15.240613,-9.363614,happy,1,1
-14.1009445,-11.658519,happy,1,1
-8.667437,-6.8848205,happy,1,1
-15.458594,2.2676036,happy,1,1
-1.3661053,-5.7896852,happy,1,3
-6.1486764,-15.096387,happy,1,3
-9.584168,-12.883812,happy,1,1
-9.680285,-5.4365125,happy,1,1
-17.308126,-0.015632162,happy,1,1
-17.302935,-3.7195678,happy,1,1
-17.858706,-9.358362,happy,1,1
-6.6134176,-4.511743,happy,1,1
-8.236179,-5.0492954,happy,1,1
-15.423487,-0.43302402,happy,1,1
-8.794389,-1.0224162,happy,1,1
-18.24157,-9.460472,happy,1,1
-7.6721287,-11.6128235,happy,1,1
-9.99627,-16.391537,happy,1,1
-9.940595,-16.491573,happy,1,1
-2.480059,-3.458764,happy,1,3
-8.815544,-12.453646,happy,1,1
6.2627788,-1.8196756,happy,1,3
-18.152897,-1.6504513,happy,1,1
-7.948376,-10.761865,happy,1,1
-6.5070534,-5.454462,happy,1,1
-13.715997,1.2385176,happy,1,1
-9.114149,-8.94927,happy,1,1
-5.2440815,2.6805043,sad,3,1
-6.852758,7.388371,sad,3,0
16.15238,3.2010527,sad,3,2
12.140042,14.058328,sad,3,2
17.67418,7.9856906,sad,3,2
12.283141,9.699768,sad,3,2
1.9766068,15.399446,sad,3,0
1.4247984,2.5186071,sad,3,0
7.4341836,5.5142417,sad,3,2
-0.89742976,2.4168866,sad,3,0
19.499922,4.3742847,sad,3,2
-13.3374815,-9.02608,sad,3,1
4.3589993,2.424884,sad,3,0
11.75627,3.1682189,sad,3,2
-4.397815,4.431247,sad,3,0
-0.61243063,3.5113647,sad,3,0
5.6622396,0.9812224,sad,3,3
0.48444265,15.816454,sad,3,0
0.34282175,20.301989,sad,3,0
3.0899427,12.475189,sad,3,0
20.749054,0.71063656,sad,3,2
0.119329534,-1.2469401,sad,3,3
-2.3084204,10.168926,sad,3,0
8.937163,3.9533138,sad,3,2
5.7858515,4.3733215,sad,3,0
3.402551,16.393482,sad,3,0
-4.0198836,2.0064528,sad,3,1
-5.6462326,-15.618801,sad,3,3
7.9578395,15.6995125,sad,3,0
2.6984184,12.001454,sad,3,0
-0.22029614,14.222338,sad,3,0
15.504059,1.3608366,sad,3,2
17.736055,9.869591,sad,3,2
15.87692,5.429815,sad,3,2
13.617585,2.3537798,sad,3,2
-7.569943,-3.0314202,sad,3,1
11.699707,10.008315,sad,3,2
1.8776735,13.65601,sad,3,0
15.736539,12.484942,sad,3,2
-3.9953318,-2.255243,sad,3,1
9.510892,3.240458,sad,3,2
6.9550476,6.76841,sad,3,0
-5.773691,-9.442413,sad,3,1
-7.451739,-17.891104,sad,3,1
12.692681,-6.2828526,sad,3,3
-12.157614,4.3448477,sad,3,1
7.2233825,0.47196883,sad,3,2
7.2282257,0.48130855,sad,3,2
14.045176,7.8349595,sad,3,2
14.299747,7.8942623,sad,3,2
1.5855085,8.718636,sad,3,0
-12.844316,6.208647,sad,3,1
-8.248468,1.8209755,sad,3,1
0.9765276,11.095938,sad,3,0
17.791697,0.7601279,sad,3,2
-3.2610223,-1.6579895,sad,3,1
10.538984,2.492485,sad,3,2
7.005584,9.430454,sad,3,0
-3.2076871,13.931594,sad,3,0
-12.846667,6.8851395,sad,3,1
2.3831894,-0.5115802,sad,3,3
2.4312763,10.555736,sad,3,0
7.9353623,-2.3279996,sad,3,3
18.818678,-2.9575987,sad,3,2
-5.8043947,15.713523,sad,3,0
-14.677013,0.014023653,sad,3,1
-0.9158749,15.217435,sad,3,0
7.7605944,15.537983,sad,3,0
4.0067844,14.469263,sad,3,0
-3.6333072,4.1646233,sad,3,0
7.78507,3.2011416,sad,3,2
3.4001067,3.3555055,sad,3,0
8.215874,12.523455,sad,3,0
2.6328106,14.750328,sad,3,0
9.391787,9.915276,sad,3,2
20.47478,4.6870985,sad,3,2
0.29260802,13.193766,sad,3,0
-6.01617,-9.855538,sad,3,1
-3.2613606,6.2843175,sad,3,0
-12.297494,8.77487,sad,3,1
6.610062,2.5986753,sad,3,2
7.7425137,6.6416154,sad,3,2
9.663405,6.661354,sad,3,2
8.7693815,1.8030238,sad,3,2
-0.86454576,19.681602,sad,3,0
7.3355722,2.3891466,sad,3,2
13.059023,7.8084893,sad,3,2
-14.013933,-14.228724,sad,3,1
20.317587,1.7382942,sad,3,2
20.096066,9.07812,sad,3,2
10.754008,5.930814,sad,3,2
-11.080199,-11.0805435,sad,3,1
1.7129269,9.761931,sad,3,0
0.48592153,4.5703225,sad,3,0
10.788459,-11.754014,sad,3,3
3.3684576,12.638984,sad,3,0
9.348959,-13.230861,sad,3,3
-0.7860751,14.871878,sad,3,0
6.9319334,-5.027903,angry,0,3
